startsum_low,startsum_high,age_low,age_high,distance,starttype,gender,applicants,addition,first_price,good_prop,id,starting_total,starting_women
0,75000,3,3,2140,0,0,9,1,60000,0,405,8,0
55001,130000,3,12,1640,2,0,18,0,50000,1,406,12,1
130001,285000,3,12,2140,2,0,17,0,50000,1,407,12,0
100001,405000,3,12,1640,2,1,13,0,50000,1,408,12,0
200001,600000,3,12,2140,2,0,11,0,60000,1,409,10,1
0,12000000,0,12,2140,1,0,15,0,0,1,410,9,2
0,12000000,2,2,2140,1,0,6,0,0,0,411,6,0
0,12000000,4,12,2140,1,0,1,0,0,0,412,1,0
0,12000000,4,4,2640,2,0,65,0,200000,1,413,11,0
0,12000000,4,4,2140,2,1,65,0,100000,1,414,11,0
75001,245000,3,12,2140,2,0,14,0,40000,1,415,0,0
0,12000000,4,4,2640,2,0,11,0,200000,1,416,11,0
0,12000000,4,4,2640,2,0,11,0,200000,1,417,11,0
0,12000000,4,4,2640,2,0,11,0,200000,1,418,11,0
0,12000000,4,4,2640,2,0,10,0,200000,0,419,10,0
0,12000000,4,4,2640,2,0,11,0,200000,1,420,11,0
0,12000000,4,4,2140,2,1,0,0,100000,0,421,0,0
0,12000000,4,4,2140,2,0,11,0,100000,1,422,11,1
0,12000000,4,4,2140,2,0,11,0,100000,1,423,11,0
0,18000,3,12,2140,1,0,12,0,30000,1,424,11,2
0,25000,3,3,2140,1,1,10,0,60000,0,425,10,1
0,47500,3,12,2140,1,0,7,0,30000,0,426,7,1
20001,75000,3,12,1640,2,1,11,0,30000,1,427,10,1
47501,100000,3,12,1640,2,0,15,0,30000,1,428,12,1
100001,185000,3,12,2640,2,0,14,0,30000,1,429,12,1
75001,205000,3,12,2140,2,1,19,0,30000,1,430,12,1
0,12000000,0,12,2140,1,0,15,0,0,1,431,15,3
