startsumma,häst,startpoäng,ålder,kön,tränare,tränarkön,tjänat_innev_år,proffs_amatör,id
598500,Global Agreement,4850,5,v,Untersteiner Peter (Hd),0,0,1,332
597850,HögstenaStalldräng,905,8,h,Dolnäs Heikki (Å),0,25000,0,333
597539,Mamba* (DE),2005,7,v,Lövgren Joakim (J),0,15500,1,334
597200,Elcamino Dimanche,320,6,v,Göransson Carl-Otto (Hd),0,0,1,335
595906,Don Cash (NO),2310,6,h,Kolgjini Adrian (J),0,156000,1,336
595250,It's Time,924,7,v,Rosenberg Maria (Kr),1,6400,0,337
595161,Red Mile Brodde,4918,5,v,Karlsson Ola (J),0,65000,1,338
592900,New Revolution,55,11,v,Eklundh Ulf-Peter (Hd),0,0,0,339
592850,Skymaster,301,12,v,Larsson Pernilla (Hd),1,0,0,340
591508,Crazy Foot Mambo,170,13,v,Johansson Lena (Ax),1,0,0,341
